n_estimators,max_depth,min_samples_leaf,train_mse,train_r2,val_mse,val_r2
25,3.0,50,1226.4681492948412,0.10678427810566138,773.4971502129333,-0.14606250225972284
10,15.0,10,777.1976574842157,0.43398027328839606,779.4583510984061,-0.1548949960851973
25,5.0,20,1090.1330143176028,0.20607481906122682,779.6634865659913,-0.15519893782204575
10,,5,558.5725998331495,0.593201153835734,781.765013644121,-0.15831269380817292
100,5.0,20,1079.5427756048991,0.21378750831633697,782.230185088844,-0.15900192136353275
10,,10,772.41379936202,0.4374642751261233,783.9735600764017,-0.16158501646616785
50,5.0,20,1076.5927424638162,0.2159359668663935,784.0696970844645,-0.16172745916293785
75,5.0,20,1079.6657680398848,0.21369793503498713,784.5131053478649,-0.16238444100667904
75,10.0,5,704.1454664143387,0.4871829313598345,787.4435109119801,-0.1667263159993937
100,10.0,5,699.2072161399483,0.49077937435451857,787.4703254484132,-0.16676604611955392
100,,20,941.7479994371184,0.3141410809213314,787.6061079132365,-0.16696723004292768
100,15.0,20,941.7479994371184,0.3141410809213314,787.6061079132365,-0.16696723004292768
10,,20,964.4248288186419,0.29762593494062406,787.6168321350159,-0.1669831197310072
10,15.0,20,964.4248288186419,0.29762593494062406,787.6168321350159,-0.1669831197310072
10,15.0,5,589.9665783089846,0.5703374576496154,787.660169890098,-0.16704733170130082
10,10.0,20,972.5026206411005,0.29174301767272925,788.3447360045075,-0.16806162833293858
100,10.0,20,949.0175728217259,0.3088467752825511,788.6506570067631,-0.1685149003188049
50,10.0,5,707.4631831423118,0.4847666951584124,790.1731127524313,-0.17077066744216118
100,15.0,5,546.1994160233288,0.6022123314314789,791.3378231275734,-0.1724963763042764
50,,20,941.7808162899132,0.31411718097017793,792.5587887590643,-0.1743054365269474
50,15.0,20,941.7808162899132,0.31411718097017793,792.5587887590643,-0.1743054365269474
75,15.0,5,551.0694973004738,0.5986655347485399,792.613581148112,-0.17438662041040365
100,3.0,50,1214.5916466524088,0.11543373132418921,792.64940717047,-0.17443970252042607
75,3.0,50,1218.9739406671156,0.11224218174000311,793.7366185957682,-0.1760505840165243
75,15.0,20,942.4910232409044,0.3135999494262617,793.7769671532716,-0.17611036700184246
